,gameID,target,choice,correct,rt,fname,d1,d2,d3,target_category,chosen_category,condition,drawDuration,original_gameID,viewer_correct,viewer_choice,viewer_RT,mean_intensity,num_strokes,correct_class
0,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,hatchback,hatchback,1,13199,gameID_1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba_trial_7.png,redantique,brown,brown,car,car,closer,3.325,1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba,True,hatchback,6.032,0.0468,3,True
12,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,robin,nightingale,0,13463,gameID_1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba_trial_10.png,tomtit,cuckoo,cuckoo,bird,bird,closer,23.158,1227-b0df7616-c762-4bb6-8c0e-fcb7cf68ddba,False,cuckoo,4.404,0.1144,7,True
16,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,nightingale,crow,0,13154,gameID_7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5_trial_11.png,redantique,knob,knob,bird,bird,further,5.206,7584-c7bb6a5e-cd82-45fc-823a-ada7595a25c5,True,nightingale,3.176,0.0302,4,True
18,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,leather,leather,1,11833,gameID_9229-923201c3-dd68-4362-8eec-77cb88a647c4_trial_12.png,straight,woven,woven,chair,chair,closer,26.862,9229-923201c3-dd68-4362-8eec-77cb88a647c4,True,leather,2.9189999999999996,0.0666,13,True
22,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,redantique,redantique,1,7519,gameID_5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687_trial_14.png,bluesedan,redsport,redsport,car,car,closer,29.7,5412-7dc95fb9-5b93-4d9a-bf13-7d349722b687,True,redantique,5.879,0.0347,10,True
23,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,cuckoo,cuckoo,1,7850,gameID_7567-ce474df0-a84b-46aa-b23d-c238f8234641_trial_14.png,beetle,sling,sling,bird,bird,further,4.448,7567-ce474df0-a84b-46aa-b23d-c238f8234641,True,cuckoo,1.665,0.0295,4,True
25,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,hatchback,hatchback,1,2530,gameID_3257-2f4b83dc-a618-4194-a666-67e8a3f5539d_trial_15.png,brown,white,white,car,car,closer,4.808,3257-2f4b83dc-a618-4194-a666-67e8a3f5539d,True,hatchback,4.22,0.0387,3,True
26,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,hatchback,hatchback,1,8556,gameID_3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0_trial_15.png,sparrow,squat,squat,car,car,further,15.792,3741-3d676fa8-13ae-4785-8a62-7cc820eaccb0,True,hatchback,4.5360000000000005,0.0672,12,True
27,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,bluejay,bluejay,1,5362,gameID_7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb_trial_15.png,robin,tomtit,tomtit,bird,bird,closer,25.971,7988-85f09ac5-8225-48f3-9367-e890cdbb4ffb,True,bluejay,3.173,0.0292,11,True
28,0033-4f335934-ac3f-41ac-920b-d3126e375cc8,crow,robin,0,8498,gameID_2769-b075d070-88e5-47fe-b275-c49134b19ceb_trial_15.png,nightingale,pigeon,pigeon,bird,bird,closer,12.824000000000002,2769-b075d070-88e5-47fe-b275-c49134b19ceb,True,crow,20.9,0.0557,6,True
