,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
0,further,d6a8931c94d5_1,trial_8_knob,trial_17_redsport,trial_26_crow,trial_7_basset,further_knob
1,further,d6a8931c94d5_2,trial_17_redsport,trial_26_crow,trial_7_basset,trial_8_knob,further_redsport
2,closer,d6a8931c94d5_4,trial_28_chihuahua,trial_18_pug,trial_23_weimaraner,trial_30_doberman,closer_chihuahua
3,further,d6a8931c94d5_7,trial_3_redantique,trial_14_robin,trial_27_sling,trial_2_bullmastiff,further_redantique
4,further,d6a8931c94d5_8,trial_7_basset,trial_17_redsport,trial_26_crow,trial_8_knob,further_basset
5,closer,d6a8931c94d5_9,trial_11_waiting,trial_22_leather,trial_32_squat,trial_5_inlay,closer_waiting
6,closer,d6a8931c94d5_10,trial_5_inlay,trial_11_waiting,trial_22_leather,trial_32_squat,closer_inlay
7,closer,d6a8931c94d5_11,trial_20_cuckoo,trial_12_bluejay,trial_19_pigeon,trial_29_sparrow,closer_cuckoo
8,further,d6a8931c94d5_12,trial_9_brown,trial_13_tomtit,trial_16_bloodhound,trial_21_woven,further_brown
9,closer,d6a8931c94d5_13,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_6_hatchback,closer_bluesedan
10,closer,d6a8931c94d5_14,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback,closer_beetle
11,further,d6a8931c94d5_15,trial_14_robin,trial_27_sling,trial_2_bullmastiff,trial_3_redantique,further_robin
12,further,d6a8931c94d5_16,trial_16_bloodhound,trial_13_tomtit,trial_21_woven,trial_9_brown,further_bloodhound
13,further,d6a8931c94d5_17,trial_4_straight,trial_15_nightingale,trial_24_white,trial_25_goldenretriever,further_straight
14,closer,d6a8931c94d5_18,trial_6_hatchback,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,closer_hatchback
15,further,d6a8931c94d5_20,trial_24_white,trial_15_nightingale,trial_25_goldenretriever,trial_4_straight,further_white
16,further,d6a8931c94d5_21,trial_13_tomtit,trial_16_bloodhound,trial_21_woven,trial_9_brown,further_tomtit
17,further,d6a8931c94d5_22,trial_2_bullmastiff,trial_14_robin,trial_27_sling,trial_3_redantique,further_bullmastiff
18,closer,d6a8931c94d5_23,trial_22_leather,trial_11_waiting,trial_32_squat,trial_5_inlay,closer_leather
19,further,d6a8931c94d5_24,trial_15_nightingale,trial_24_white,trial_25_goldenretriever,trial_4_straight,further_nightingale
20,closer,d6a8931c94d5_25,trial_32_squat,trial_11_waiting,trial_22_leather,trial_5_inlay,closer_squat
21,further,d6a8931c94d5_26,trial_21_woven,trial_13_tomtit,trial_16_bloodhound,trial_9_brown,further_woven
22,closer,d6a8931c94d5_27,trial_12_bluejay,trial_19_pigeon,trial_20_cuckoo,trial_29_sparrow,closer_bluejay
23,further,d6a8931c94d5_28,trial_26_crow,trial_17_redsport,trial_7_basset,trial_8_knob,further_crow
24,further,d6a8931c94d5_29,trial_27_sling,trial_14_robin,trial_2_bullmastiff,trial_3_redantique,further_sling
