,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
0,further,d6a8931c94d5_1,trial_8_knob,trial_17_redsport,trial_26_crow,trial_7_basset,further_knob
1,further,d6a8931c94d5_2,trial_17_redsport,trial_26_crow,trial_7_basset,trial_8_knob,further_redsport
2,closer,d6a8931c94d5_4,trial_28_chihuahua,trial_18_pug,trial_23_weimaraner,trial_30_doberman,closer_chihuahua
3,further,d6a8931c94d5_7,trial_3_redantique,trial_14_robin,trial_27_sling,trial_2_bullmastiff,further_redantique
4,further,d6a8931c94d5_8,trial_7_basset,trial_17_redsport,trial_26_crow,trial_8_knob,further_basset
5,further,d6a8931c94d5_12,trial_9_brown,trial_13_tomtit,trial_16_bloodhound,trial_21_woven,further_brown
6,closer,d6a8931c94d5_13,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_6_hatchback,closer_bluesedan
7,closer,d6a8931c94d5_14,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback,closer_beetle
8,further,d6a8931c94d5_15,trial_14_robin,trial_27_sling,trial_2_bullmastiff,trial_3_redantique,further_robin
9,further,d6a8931c94d5_16,trial_16_bloodhound,trial_13_tomtit,trial_21_woven,trial_9_brown,further_bloodhound
10,closer,d6a8931c94d5_18,trial_6_hatchback,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,closer_hatchback
11,further,d6a8931c94d5_21,trial_13_tomtit,trial_16_bloodhound,trial_21_woven,trial_9_brown,further_tomtit
12,further,d6a8931c94d5_22,trial_2_bullmastiff,trial_14_robin,trial_27_sling,trial_3_redantique,further_bullmastiff
13,further,d6a8931c94d5_26,trial_21_woven,trial_13_tomtit,trial_16_bloodhound,trial_9_brown,further_woven
14,further,d6a8931c94d5_28,trial_26_crow,trial_17_redsport,trial_7_basset,trial_8_knob,further_crow
15,further,d6a8931c94d5_29,trial_27_sling,trial_14_robin,trial_2_bullmastiff,trial_3_redantique,further_sling
16,closer,d6a8931c94d5_30,trial_30_doberman,trial_18_pug,trial_23_weimaraner,trial_28_chihuahua,closer_doberman
17,closer,a061099290fc_1,trial_4_straight,trial_11_waiting,trial_32_squat,trial_5_inlay,closer_straight
18,further,a061099290fc_16,trial_22_leather,trial_10_beetle,trial_25_goldenretriever,trial_29_sparrow,further_leather
19,further,a061099290fc_17,trial_10_beetle,trial_22_leather,trial_25_goldenretriever,trial_29_sparrow,further_beetle
20,further,a061099290fc_19,trial_29_sparrow,trial_10_beetle,trial_22_leather,trial_25_goldenretriever,further_sparrow
21,closer,a061099290fc_24,trial_11_waiting,trial_32_squat,trial_4_straight,trial_5_inlay,closer_waiting
22,closer,a061099290fc_26,trial_32_squat,trial_11_waiting,trial_4_straight,trial_5_inlay,closer_squat
23,closer,a061099290fc_27,trial_5_inlay,trial_11_waiting,trial_32_squat,trial_4_straight,closer_inlay
24,further,a061099290fc_29,trial_25_goldenretriever,trial_10_beetle,trial_22_leather,trial_29_sparrow,further_goldenretriever
