id,perception,pragmatics,production,alpha,simScaling,pragWeight,costWeight,logLikelihood,posteriorProb
0,fc6,S0,nocost,29.89302282032936,1,0,0,-18231.66788225812,-4.509860006183767
1,fc6,S0,nocost,29.9571996645376,1,0,0,-18231.006486377828,-3.816712825623821
2,fc6,S0,nocost,29.82653953387999,1,0,0,-18232.36425472464,-4.199705077879926
3,fc6,S0,nocost,29.978003115597357,1,0,0,-18230.794364055848,-3.611918412977808
4,fc6,S0,nocost,29.968404675421986,1,0,0,-18230.89209633029,-5.298317366548036
5,fc6,S0,nocost,29.97182087335563,1,0,0,-18230.857285133083,-3.036554268074246
6,fc6,S0,nocost,29.973316229789944,1,0,0,-18230.842056824942,-4.710530701645918
7,fc6,S0,nocost,29.991563968618326,1,0,0,-18230.656689381784,-3.1010927892118167
8,fc6,S0,nocost,29.94348136371921,1,0,0,-18231.14697375317,-4.3428059215206005
9,fc6,S0,nocost,29.981280758322967,1,0,0,-18230.761044973966,-4.605170185988091
10,fc6,S0,nocost,29.824008775577422,1,0,0,-18232.39098876193,-4.3428059215206005
11,fc6,S0,nocost,29.841518499017834,1,0,0,-18232.206361711516,-4.0745419349259215
12,fc6,S0,nocost,29.810258481704626,1,0,0,-18232.53653194729,-4.509860006183767
13,fc6,S0,nocost,29.98592277824141,1,0,0,-18230.713903431842,-5.115995809754082
14,fc6,S0,nocost,29.903956810428344,1,0,0,-18231.554448372128,-4.0745419349259215
15,fc6,S0,nocost,29.853540855067585,1,0,0,-18232.080054223006,-3.912023005428147
16,fc6,S0,nocost,29.931185186750017,1,0,0,-18231.27330887254,-5.809142990314027
17,fc6,S0,nocost,29.982610817739445,1,0,0,-18230.74753204085,-4.605170185988091
18,fc6,S0,nocost,29.97195876402893,1,0,0,-18230.855880651125,-3.963316299815697
19,fc6,S0,nocost,29.856587978789573,1,0,0,-18232.04810035745,-6.214608098422191
20,fc6,S0,nocost,29.79065979977269,1,0,0,-18232.744825780515,-5.809142990314027
21,fc6,S0,nocost,29.802168784292054,1,0,0,-18232.622388150736,-4.605170185988091
22,fc6,S0,nocost,29.935272093929076,1,0,0,-18231.231275412443,-4.8283137373023015
23,fc6,S0,nocost,29.879880488239756,1,0,0,-18231.804634640044,-5.809142990314027
24,fc6,S0,nocost,29.813426442235446,1,0,0,-18232.50295650385,-6.907755278982138
25,fc6,S0,nocost,29.69887369191243,1,0,0,-18233.73360309323,-6.907755278982138
26,fc6,S0,nocost,29.880626002511672,1,0,0,-18231.79686527193,-6.214608098422191
27,fc6,S0,nocost,29.96298253451219,1,0,0,-18230.94740974432,-6.907755278982138
28,fc6,S0,nocost,29.75745420470831,1,0,0,-18233.100008245834,-5.521460917862246
