id,perception,pragmatics,production,simScaling,pragWeight,costWeight, infWeight,logLikelihood,posteriorProb
0,human_full25k,combined,nocost,8.380834238281428,0.99914089424651,0,1.984441005848221,-2524.4073491918175,-5.298317366548036
1,human_full25k,combined,nocost,8.514401909256343,0.99914089424651,0,1.984441005848221,-2524.037451182364,-6.907755278982137
2,human_full25k,combined,nocost,8.848010387505338,0.99914089424651,0,1.984441005848221,-2523.4490902900325,-6.214608098422191
3,human_full25k,combined,nocost,9.056785879881577,0.99914089424651,0,1.984441005848221,-2523.3065420730236,-6.907755278982137
4,human_full25k,combined,nocost,9.056785879881577,0.99914089424651,0,2.0411175199175124,-2510.284407936793,-5.521460917862246
5,human_full25k,combined,nocost,9.056785879881577,0.99914089424651,0,2.064606804757931,-2505.080020880492,-6.214608098422191
6,human_full25k,combined,nocost,9.056785879881577,0.99914089424651,0,2.0933867745161026,-2498.8573839241853,-5.521460917862246
7,human_full25k,combined,nocost,9.056785879881577,0.99914089424651,0,2.1245294095754708,-2492.314953223007,-5.809142990314028
8,human_full25k,combined,nocost,9.056785879881577,0.99914089424651,0,2.2021167375282857,-2476.87848427302,-6.907755278982137
9,human_full25k,combined,nocost,8.309582914008558,0.99914089424651,0,2.2021167375282857,-2476.326213051882,-6.907755278982137
10,human_full25k,combined,nocost,8.802143325537033,0.99914089424651,0,2.2021167375282857,-2476.4324280778205,-6.907755278982137
11,human_full25k,combined,nocost,8.802143325537033,0.99914089424651,0,2.207358473440121,-2475.4178360215806,-5.809142990314028
12,human_full25k,combined,nocost,8.802143325537033,0.99914089424651,0,2.2258300983579242,-2471.8869565542986,-5.809142990314028
13,human_full25k,combined,nocost,8.593440602065012,0.99914089424651,0,2.2258300983579242,-2471.653386472957,-6.214608098422191
14,human_full25k,combined,nocost,8.643301491493913,0.99914089424651,0,2.2258300983579242,-2471.6927016365175,-6.214608098422191
15,human_full25k,combined,nocost,8.794498401002658,0.99914089424651,0,2.2258300983579242,-2471.8752580324476,-6.907755278982137
16,human_full25k,combined,nocost,8.794498401002658,0.99914089424651,0,2.2407492040232886,-2469.072626702727,-6.907755278982137
17,human_full25k,combined,nocost,8.794498401002658,0.99914089424651,0,2.30619832582555,-2457.310308016931,-6.907755278982137
18,human_full25k,combined,nocost,8.794498401002658,0.99914089424651,0,2.4061116251585677,-2441.017473368457,-6.907755278982137
19,human_full25k,combined,nocost,8.794498401002658,0.99914089424651,0,2.49366542053388,-2428.3737906576175,-6.907755278982137
20,human_full25k,combined,nocost,7.93804904083193,0.99914089424651,0,2.49366542053388,-2425.8041706496824,-6.907755278982137
21,human_full25k,combined,nocost,7.934927187362833,0.99914089424651,0,2.49366542053388,-2425.8012666597733,-5.115995809754082
22,human_full25k,combined,nocost,7.648866975800746,0.99914089424651,0,2.49366542053388,-2425.765636789358,-6.907755278982137
23,human_full25k,combined,nocost,7.290994443045767,0.99914089424651,0,2.49366542053388,-2426.4215908241767,-6.907755278982137
24,human_full25k,combined,nocost,6.9698320535574245,0.99914089424651,0,2.49366542053388,-2427.7661883300148,-6.907755278982137
25,human_full25k,combined,nocost,6.9698320535574245,0.99914089424651,0,2.5613904409527004,-2417.369044659881,-5.809142990314028
26,human_full25k,combined,nocost,7.450193937743547,0.99914089424651,0,2.5613904409527004,-2416.08141249173,-5.521460917862246
27,human_full25k,combined,nocost,7.502632135850551,0.99914089424651,0,2.5613904409527004,-2416.036696428952,-6.907755278982137
28,human_full25k,combined,nocost,8.276476203425476,0.99914089424651,0,2.5613904409527004,-2417.2164601476784,-6.214608098422191
29,human_full25k,combined,nocost,7.523258107976535,0.99914089424651,0,2.5613904409527004,-2416.0238920880424,-6.214608098422191
30,human_full25k,combined,nocost,7.523258107976535,0.99914089424651,0,2.610281365135202,-2409.440441979991,-6.907755278982137
31,human_full25k,combined,nocost,7.793741948074951,0.99914089424651,0,2.610281365135202,-2409.691123108881,-5.521460917862246
32,human_full25k,combined,nocost,7.793741948074951,0.99914089424651,0,2.6128427239612204,-2409.3682419282954,-6.214608098422191
33,human_full25k,combined,nocost,7.710095578756078,0.99914089424651,0,2.6128427239612204,-2409.242119170859,-6.214608098422191
34,human_full25k,combined,nocost,7.710095578756078,0.99914089424651,0,2.6283614538393696,-2407.2949499169476,-6.907755278982137
35,human_full25k,combined,nocost,7.710095578756078,0.99914089424651,0,2.693255378140888,-2399.645690260372,-6.907755278982137
36,human_full25k,combined,nocost,6.977729111278498,0.99914089424651,0,2.693255378140888,-2399.6027823307804,-5.809142990314028
37,human_full25k,combined,nocost,7.100638987611637,0.99914089424651,0,2.693255378140888,-2399.3533799862407,-6.214608098422191
38,human_full25k,combined,nocost,7.100638987611637,0.99914089424651,0,2.732258574305232,-2394.802463947866,-5.809142990314028
39,human_full25k,combined,nocost,7.100638987611637,0.99914089424651,0,2.8160967991611856,-2385.9682424449134,-5.809142990314028
40,human_full25k,combined,nocost,7.100638987611637,0.982870020594231,0,2.8160967991611856,-2387.472765095569,-5.809142990314028
41,human_full25k,combined,nocost,7.100638987611637,0.982870020594231,0,2.850122635669861,-2384.1261556902436,-5.298317366548036
42,human_full25k,combined,nocost,7.100638987611637,0.9981220828308817,0,2.850122635669861,-2382.8299033074863,-6.214608098422191
43,human_full25k,combined,nocost,7.100638987611637,0.9981220828308817,0,2.9162555889450057,-2377.144704229906,-5.809142990314028
44,human_full25k,combined,nocost,7.0944836835807745,0.9981220828308817,0,2.9162555889450057,-2377.134944826801,-6.907755278982137
45,human_full25k,combined,nocost,6.946112197504812,0.9981220828308817,0,2.9162555889450057,-2376.9813250819307,-5.809142990314028
46,human_full25k,combined,nocost,6.840979573206967,0.9981220828308817,0,2.9162555889450057,-2376.9710404095435,-5.809142990314028
47,human_full25k,combined,nocost,6.840979573206967,0.9981220828308817,0,2.9182185324027046,-2376.80665145136,-5.809142990314028
48,human_full25k,combined,nocost,6.8355309434078055,0.9981220828308817,0,2.9182185324027046,-2376.8082736907095,-6.214608098422191
49,human_full25k,combined,nocost,6.8355309434078055,0.9981220828308817,0,2.9748142596862572,-2372.3531130971046,-6.907755278982137
50,human_full25k,combined,nocost,7.006363769802681,0.9981220828308817,0,2.9748142596862572,-2372.551469506179,-6.907755278982137
51,human_full25k,combined,nocost,7.006363769802681,0.9981220828308817,0,3.065593059736911,-2366.778149895458,-6.214608098422191
52,human_full25k,combined,nocost,7.006363769802681,0.9981220828308817,0,3.147062497225495,-2362.7640734888128,-6.907755278982137
53,human_full25k,combined,nocost,6.80337488779256,0.9981220828308817,0,3.147062497225495,-2362.0478289799807,-5.809142990314028
54,human_full25k,combined,nocost,6.80337488779256,0.9981220828308817,0,3.223172887267988,-2359.0445979326746,-6.907755278982137
55,human_full25k,combined,nocost,6.80337488779256,0.9981220828308817,0,3.2278997601741803,-2358.8882130842944,-5.809142990314028
56,human_full25k,combined,nocost,6.2735980121456585,0.9981220828308817,0,3.2278997601741803,-2357.881037310313,-5.115995809754082
57,human_full25k,combined,nocost,6.2735980121456585,0.9767054397252386,0,3.2278997601741803,-2358.565484102204,-6.907755278982137
58,human_full25k,combined,nocost,6.2735980121456585,0.9814211850002972,0,3.2278997601741803,-2358.3963415875896,-6.214608098422191
59,human_full25k,combined,nocost,6.4000880506132845,0.9814211850002972,0,3.2278997601741803,-2358.333411934565,-6.907755278982137
60,human_full25k,combined,nocost,5.995131917899807,0.9814211850002972,0,3.2278997601741803,-2359.0625997651337,-6.907755278982137
61,human_full25k,combined,nocost,5.995131917899807,0.9814211850002972,0,3.323723944568435,-2355.087275108961,-6.214608098422191
62,human_full25k,combined,nocost,5.995131917899807,0.9814211850002972,0,3.3348146402466368,-2354.7182386210225,-6.907755278982137
63,human_full25k,combined,nocost,5.995131917899807,0.9814211850002972,0,3.400044098337323,-2352.921011011542,-6.214608098422191
64,human_full25k,combined,nocost,6.041552234200486,0.9814211850002972,0,3.400044098337323,-2352.8856965244045,-5.809142990314028
65,human_full25k,combined,nocost,6.279077970538027,0.9814211850002972,0,3.400044098337323,-2353.015551382312,-6.214608098422191
66,human_full25k,combined,nocost,5.480219660610798,0.9814211850002972,0,3.400044098337323,-2354.828503880164,-6.214608098422191
67,human_full25k,combined,nocost,5.857409509314657,0.9814211850002972,0,3.400044098337323,-2353.1506250791135,-6.907755278982137
68,human_full25k,combined,nocost,5.857409509314657,0.9814211850002972,0,3.487311520868086,-2351.526653526025,-5.809142990314028
69,human_full25k,combined,nocost,5.857409509314657,0.9905575411499861,0,3.487311520868086,-2351.5979393229477,-6.907755278982137
70,human_full25k,combined,nocost,5.857409509314657,0.9905575411499861,0,3.421296606802621,-2352.5871140613176,-6.214608098422191
71,human_full25k,combined,nocost,5.857409509314657,0.986425412647972,0,3.421296606802621,-2352.612338946953,-6.907755278982137
72,human_full25k,combined,nocost,5.855310044141795,0.986425412647972,0,3.421296606802621,-2352.6160846154426,-6.907755278982137
73,human_full25k,combined,nocost,5.855310044141795,0.9831422761538895,0,3.421296606802621,-2352.642056591474,-6.214608098422191
74,human_full25k,combined,nocost,5.855310044141795,0.9831422761538895,0,3.382677956260314,-2353.5812163746523,-6.214608098422191
75,human_full25k,combined,nocost,5.855310044141795,0.9831422761538895,0,3.4583806752435415,-2351.9452471571003,-6.907755278982137
76,human_full25k,combined,nocost,5.855310044141795,0.9904514510891921,0,3.4583806752435415,-2351.9559779043047,-6.214608098422191
77,human_full25k,combined,nocost,5.855310044141795,0.921885113811041,0,3.4583806752435415,-2352.8424375868963,-6.214608098422191
78,human_full25k,combined,nocost,5.855310044141795,0.921885113811041,0,3.543702000093316,-2350.798775425441,-5.809142990314028
79,human_full25k,combined,nocost,5.855310044141795,0.921885113811041,0,3.5240719290569213,-2351.1790001722156,-6.214608098422191
80,human_full25k,combined,nocost,5.855310044141795,0.962148047395182,0,3.5240719290569213,-2350.986716844672,-6.907755278982137
81,human_full25k,combined,nocost,5.855310044141795,0.9832513980256736,0,3.5240719290569213,-2351.195066330264,-6.214608098422191
82,human_full25k,combined,nocost,5.855310044141795,0.9832513980256736,0,3.519633432355743,-2351.226618983309,-6.907755278982137
83,human_full25k,combined,nocost,5.855310044141795,0.9842858439922227,0,3.519633432355743,-2351.2411537240673,-6.907755278982137
84,human_full25k,combined,nocost,5.855310044141795,0.9842858439922227,0,3.5608251945727503,-2351.062853483545,-6.907755278982137
85,human_full25k,combined,nocost,5.855310044141795,0.9932664464582008,0,3.5608251945727503,-2351.2945264528507,-6.907755278982137
86,human_full25k,combined,nocost,5.855310044141795,0.9932664464582008,0,3.6106621280986806,-2351.490619097756,-6.907755278982137
87,human_full25k,combined,nocost,5.855310044141795,0.9984941767488809,0,3.6106621280986806,-2351.7023055556524,-6.907755278982137
88,human_full25k,combined,nocost,6.003020355061319,0.9984941767488809,0,3.6106621280986806,-2352.0817724178833,-6.907755278982137
89,human_full25k,combined,nocost,6.025424652716038,0.9984941767488809,0,3.6106621280986806,-2352.1561219350906,-6.907755278982137
90,human_full25k,combined,nocost,6.025424652716038,0.9250099526601915,0,3.6106621280986806,-2349.741161833117,-6.907755278982137
91,human_full25k,combined,nocost,6.025424652716038,0.8492922074394752,0,3.6106621280986806,-2350.1033321001146,-6.907755278982137
92,human_full25k,combined,nocost,6.025424652716038,0.9330699905160451,0,3.6106621280986806,-2349.876343336996,-5.115995809754082
93,human_full25k,combined,nocost,6.025424652716038,0.8689568945468725,0,3.6106621280986806,-2349.720309404293,-6.214608098422191
94,human_full25k,combined,nocost,6.025424652716038,0.9067923513337506,0,3.6106621280986806,-2349.556697006599,-6.214608098422191
95,human_full25k,combined,nocost,6.025424652716038,0.9055723251915697,0,3.6106621280986806,-2349.5503908820633,-6.907755278982137
96,human_full25k,combined,nocost,6.025424652716038,0.9055723251915697,0,3.6651043793360207,-2349.1857845563927,-6.907755278982137
97,human_full25k,combined,nocost,6.025424652716038,0.9055723251915697,0,3.6441416420724897,-2349.280314165778,-6.907755278982137
98,human_full25k,combined,nocost,6.025424652716038,0.8953298409773311,0,3.6441416420724897,-2349.179344349397,-6.214608098422191
99,human_full25k,combined,nocost,6.025424652716038,0.8953298409773311,0,3.5833782463774955,-2349.921186622282,-6.907755278982137
100,human_full25k,combined,nocost,6.025424652716038,0.8953298409773311,0,3.680211872191638,-2348.9676014681577,-6.214608098422191
101,human_full25k,combined,nocost,6.025424652716038,0.8953298409773311,0,3.6627141400484486,-2349.049307549097,-6.907755278982137
102,human_full25k,combined,nocost,6.496905831383294,0.8953298409773311,0,3.6627141400484486,-2349.478156281016,-6.907755278982137
103,human_full25k,combined,nocost,6.496905831383294,0.8953298409773311,0,3.667941078701417,-2349.4796763963486,-6.907755278982137
104,human_full25k,combined,nocost,6.496905831383294,0.8271947307729781,0,3.667941078701417,-2348.405929094665,-6.214608098422191
105,human_full25k,combined,nocost,6.496905831383294,0.8271947307729781,0,3.731233514196713,-2347.689427666862,-6.214608098422191
106,human_full25k,combined,nocost,6.496905831383294,0.7902659509641434,0,3.731233514196713,-2347.6872086375784,-6.214608098422191
107,human_full25k,combined,nocost,6.496905831383294,0.8214339317882182,0,3.731233514196713,-2347.6357381116977,-6.214608098422191
108,human_full25k,combined,nocost,6.496905831383294,0.8214339317882182,0,3.812635850673578,-2347.3290031440292,-6.214608098422191
109,human_full25k,combined,nocost,6.496905831383294,0.8650676908728989,0,3.812635850673578,-2349.0400252755335,-6.907755278982137
110,human_full25k,combined,nocost,6.496905831383294,0.8650676908728989,0,3.732475815487831,-2348.5234729001386,-6.214608098422191
111,human_full25k,combined,nocost,6.496905831383294,0.8650676908728989,0,3.76018179817087,-2348.6143220485537,-6.214608098422191
112,human_full25k,combined,nocost,6.496905831383294,0.8718550176393796,0,3.76018179817087,-2348.8957674872204,-6.907755278982137
113,human_full25k,combined,nocost,6.496905831383294,0.8709413671887702,0,3.76018179817087,-2348.85637143675,-6.907755278982137
114,human_full25k,combined,nocost,6.496905831383294,0.8709413671887702,0,3.72528365651264,-2348.709460745058,-6.907755278982137
115,human_full25k,combined,nocost,5.888054141900503,0.8709413671887702,0,3.72528365651264,-2348.729584692472,-6.907755278982137
116,human_full25k,combined,nocost,5.888054141900503,0.8709413671887702,0,3.780366685527724,-2348.637473512195,-6.907755278982137
117,human_full25k,combined,nocost,5.888054141900503,0.8709413671887702,0,3.716975596920481,-2348.7764570650556,-6.907755278982137
118,human_full25k,combined,nocost,5.888054141900503,0.8709413671887702,0,3.775008921402291,-2348.6299006022987,-5.115995809754082
119,human_full25k,combined,nocost,5.436251827573182,0.8709413671887702,0,3.775008921402291,-2350.4202238989055,-6.907755278982137
120,human_full25k,combined,nocost,5.436251827573182,0.8709413671887702,0,3.8307012114914802,-2350.32443374059,-6.907755278982137
121,human_full25k,combined,nocost,5.436251827573182,0.8486849473289855,0,3.8307012114914802,-2350.2762622644104,-6.907755278982137
122,human_full25k,combined,nocost,5.436251827573182,0.8486849473289855,0,3.749474996925089,-2350.935216877343,-6.907755278982137
123,human_full25k,combined,nocost,5.436251827573182,0.8486849473289855,0,3.8181011396464033,-2350.3249865230987,-6.907755278982137
124,human_full25k,combined,nocost,5.436251827573182,0.8486849473289855,0,3.76605534573843,-2350.7339016764954,-6.907755278982137
125,human_full25k,combined,nocost,5.436251827573182,0.8782299077083422,0,3.76605534573843,-2350.4394703186663,-5.809142990314028
